Subject,words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
14,resilient,7,0,4,1,3,2,3,7,4,2,6,7,1,3,4,4,9,5,4,1,2,2,3,5,0,2,5,5,6,3,2,4,2,4,5,3,2,4,6,4,4,2,6,6,5,3,1,3,7,1,5,6,3,3,0,5,1,2,3,2,2,3,4,5,1,4,5,6,6,1,3,1,1,6,1,2,3,3,3,5,3,9,10,6,1,6,1,1,5,7,5,3,4,1,5,2,5,7,5,2
15,stretch,2,1,8,8,2,3,2,5,1,8,1,1,2,1,6,6,1,2,7,4,3,8,1,7,1,6,1,1,5,1,5,6,8,7,1,7,4,1,1,7,2,5,3,1,2,7,2,1,2,2,1,2,6,7,6,1,10,6,4,5,6,1,1,7,3,1,1,1,1,5,7,4,3,2,6,3,4,7,4,1,7,10,1,1,8,1,9,7,1,6,2,2,6,7,6,1,6,1,2,3
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,command,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1,order,8,0,0,0,0,0,0,9,0,0,9,9,0,0,11,0,0,0,0,0,7,11,10,0,9,10,0,0,0,0,11,0,0,10,13,0,0,0,10,0,0,0,11,0,9,0,0,9,11,0,0,9,7,0,0,0,0,10,0,9,0,10,9,7,0,11,11,8,10,10,10,10,5,0,8,12,11,10,0,8,10,0,0,0,10,11,7,0,3,9,0,0,0,0,11,0,0,10,0,11
2,army,11,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,9,12,9,0,10,9,0,0,0,0,10,0,0,9,12,0,0,0,9,0,0,0,12,0,8,0,0,8,12,0,0,11,9,0,0,0,0,11,0,10,0,0,10,6,0,10,10,10,9,9,11,0,10,0,10,13,13,11,0,9,12,0,0,0,11,12,9,0,10,10,0,0,0,0,10,0,0,11,0,10
3,obey,12,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,12,0,0,0,14,0,0,0,0,13,0,0,0,0,11,0,0,0,0,14,0,14,0,0,0,0,0,12,0,11,12,11,0,0,14,0,0,7,14,0,0,12,14,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,12,0,14
4,officer,14,0,0,0,0,0,0,13,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,13,0,10,0,0,14,0,0,0,0,8,0,0,0,0,12,0,13,0,0,11,8,0,13,9,12,11,12,0,0,12,0,11,14,9,0,0,6,13,0,0,0,13,10,10,0,11,8,0,0,0,0,12,0,0,0,0,13
5,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,do,7,8,8,1,5,5,5,12,3,4,6,8,8,0,12,1,6,2,3,1,0,7,1,7,6,2,0,6,3,8,7,3,8,3,6,7,3,5,11,8,7,8,8,0,11,2,8,10,8,0,7,8,5,0,8,5,7,7,8,7,4,8,8,9,2,6,7,5,7,5,6,5,2,0,7,2,8,8,8,5,8,7,0,8,8,1,6,6,5,5,6,8,8,4,5,5,2,8,6,8
7,tell,5,9,9,0,0,0,0,6,8,8,8,0,0,0,14,0,0,0,9,2,0,9,0,0,8,0,0,0,0,0,9,0,9,0,7,0,0,0,14,9,8,0,9,0,0,0,9,12,9,0,9,10,0,0,9,0,8,8,9,8,0,9,0,13,0,8,0,6,14,0,9,7,0,0,0,9,10,9,0,0,9,9,0,0,14,2,0,9,0,0,9,9,9,0,7,9,0,9,8,9
8,general,10,10,10,0,0,0,0,7,0,0,0,12,0,0,8,0,0,0,0,0,0,10,11,0,11,0,0,0,0,0,12,0,0,0,10,0,0,0,13,0,0,0,10,0,12,0,10,11,10,0,10,12,0,0,10,0,0,13,0,11,0,0,12,10,0,14,0,0,13,13,0,0,11,0,12,11,12,12,0,0,11,0,0,0,9,0,12,10,0,12,0,0,0,0,13,0,0,13,0,12
9,shout,4,5,6,7,6,4,7,3,4,3,7,4,5,5,4,6,4,3,7,6,6,2,3,2,7,5,4,4,7,2,6,6,5,6,2,4,7,7,6,3,4,6,5,5,5,7,6,5,4,6,4,6,3,1,2,7,6,4,5,5,6,2,2,12,4,1,2,2,5,6,4,6,3,7,5,6,4,2,3,10,7,4,6,6,7,3,0,2,7,6,8,5,3,6,6,4,5,7,5,7
10,halt,6,6,4,6,7,6,8,2,7,1,4,7,2,6,2,7,7,8,4,9,2,3,4,1,3,7,6,3,6,5,5,7,6,7,8,5,4,6,7,4,5,4,2,3,6,4,5,6,5,4,5,5,0,3,5,2,3,6,6,6,5,6,4,11,7,3,6,4,2,7,8,9,7,4,6,5,3,3,6,7,2,5,4,4,4,8,1,8,8,11,5,6,4,7,8,2,6,4,7,3
11,voice,3,4,5,2,4,2,3,5,5,5,2,5,3,4,3,5,3,4,6,3,5,6,5,6,4,4,5,2,5,1,1,5,4,1,3,2,5,8,4,5,2,5,3,2,4,5,1,3,6,3,6,3,4,4,6,3,5,3,2,4,7,4,3,2,1,2,1,1,3,4,3,4,8,5,4,4,5,5,5,2,1,6,5,5,2,5,2,4,6,3,4,4,1,3,4,3,3,6,3,4
12,soldier,13,7,7,8,8,7,4,4,9,9,0,6,6,7,6,8,8,6,8,4,8,4,8,8,12,8,7,8,8,6,8,8,7,8,9,8,8,9,5,7,0,7,6,7,7,8,7,7,7,7,8,7,10,7,7,4,9,9,7,12,8,7,6,5,5,9,8,13,8,8,7,8,9,6,9,8,7,7,7,11,3,8,7,7,5,9,3,7,9,7,7,7,7,8,9,8,8,5,9,5
