Subject,words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
14,resilient,1,1,5,2,2,1,1,4,1,2,5,3,1,4,4,4,1,0,3,2,4,3,3,0,1,3,2,1,2,1,4,2,3,0,3,1,4,1,4,1,3,0,4,1,2,1,4,3,4,1,2,4,1,2,0,2,1,3,1,0,1,3,3,1,1,4,3,0,2,1,2,8,4,1,3,2,2,3,2,3,2,1,3,5,2,2,1,5,2,3,2,5,7,1,1,1,3,1,2,2
15,stretch,0,2,0,1,1,2,3,2,0,1,0,1,2,0,1,1,6,0,1,3,0,0,1,2,2,2,1,0,4,0,1,0,2,3,1,0,0,3,1,5,2,0,3,0,3,4,2,5,6,0,4,1,6,0,0,1,3,0,0,1,2,5,4,2,0,2,1,0,4,3,1,2,3,2,2,5,1,1,1,4,4,0,1,1,1,1,0,1,1,4,1,4,1,5,2,2,1,2,1,1
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,command,4,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,order,0,9,0,0,0,0,8,0,8,10,8,0,0,0,8,7,8,6,0,9,0,0,0,0,0,0,0,10,0,10,0,10,0,0,8,9,0,10,0,0,10,6,5,0,0,8,0,5,0,10,0,0,0,9,0,0,0,0,0,10,8,10,0,9,0,9,0,0,8,6,0,10,0,10,0,9,0,0,8,0,9,8,8,0,0,0,8,0,5,0,10,11,12,0,0,0,10,0,5,11
2,army,0,10,0,0,0,0,9,0,9,9,9,0,0,0,10,8,9,5,0,10,0,0,0,0,0,0,0,11,0,11,0,11,0,0,9,10,0,11,0,0,11,5,6,0,0,9,0,6,0,11,0,0,0,10,0,0,0,0,0,11,10,11,0,10,0,8,0,0,9,7,0,0,0,9,0,10,0,0,9,0,10,9,9,0,0,0,9,0,6,0,11,12,13,0,0,0,8,0,7,10
3,obey,0,8,0,0,0,0,7,0,7,8,6,0,0,0,7,5,7,7,0,7,0,0,0,0,0,0,0,9,0,9,0,3,0,0,6,8,0,9,0,0,9,8,4,0,0,7,0,4,0,9,0,0,0,8,0,0,0,0,0,9,9,9,0,8,0,10,0,0,7,5,0,9,0,11,0,7,0,0,7,0,7,7,7,0,0,0,7,0,4,0,8,10,11,0,1,0,7,0,4,9
4,officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,do,0,4,0,0,0,7,4,0,6,5,4,8,0,4,6,6,6,0,0,6,0,0,0,0,0,0,6,3,0,8,0,8,0,7,5,6,0,7,4,0,5,7,0,0,8,3,9,0,0,8,4,0,0,4,5,6,7,0,0,4,7,7,4,7,0,11,0,0,6,8,0,4,4,4,0,8,8,0,6,0,8,6,5,0,0,5,4,0,7,0,9,9,8,0,8,0,9,0,6,7
