Ss/list order:,words,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,57a,58a,59a,60a,61a,62a,63a,64a,65a,12b,13b,14b,15b,16b,17b,18b,19b,20b,21b,44b,46b,47b,48b,50b,52b,53b,54b,55b,56b,22c,23c,25c,26c,27c,28c,29c,30c,31c,32c,66c,67c,69c,70c,71c,72c,73c,74c,75c,76c,33d,34d,35d,36d,37d,38d,39d,40d,41d,42d,43d,77d,79d,81d,82d,85d,86d,87d,88d,89d
13,lungs,7,3,2,8,2,1,6,4,1,3,0,3,0,10,10,0,2,3,0,1,1,0,0,0,7,2,0,5,0,3,1,8,1,14,8,6,0,2,0,4,3,0,3,1,7,4,1,0,10,3,0,2,1,1,6,3,0,2,2,10,0,1,0,11,0,0,10,8,0,0,0,3,3,4,7,0,2,0,6,0
14,flames,1,0,3,4,9,2,2,0,2,10,1,2,9,0,0,1,3,4,0,0,2,7,1,0,0,3,0,9,2,2,3,2,3,4,10,8,0,7,1,5,2,0,4,2,1,0,2,1,2,4,2,0,0,2,0,4,2,3,3,0,0,2,0,1,6,1,1,2,1,2,0,2,0,2,0,5,10,1,0,0
15,stain,2,2,4,7,1,3,1,2,3,7,2,1,0,6,1,2,4,5,1,5,3,0,3,0,0,1,2,4,1,1,4,3,5,1,0,1,0,1,0,1,1,0,1,3,2,5,3,2,1,5,1,1,5,3,7,0,1,4,1,9,1,3,0,2,2,2,2,1,2,3,5,1,1,1,8,9,1,2,8,1
othr,,0,0,0,1,0,1,0,1,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,0,1,2,1,0,2,1,0,1,0,0,0,0,0,1,0,1
CL,needle,6,0,0,0,0,8,7,6,10,0,7,0,0,3,4,0,7,0,0,7,9,0,8,0,0,0,0,10,0,11,1,0,0,12,0,0,0,0,2,6,0,5,0,6,10,0,0,0,0,0,9,0,2,13,0,4,0,6,0,3,5,15,0,5,9,0,5,5,3,0,0,0,0,0,0,0,0,2,6,0
1,thread,4,0,9,9,0,0,0,0,0,0,0,0,0,8,0,9,6,10,10,0,0,8,0,8,1,10,10,8,7,4,7,1,7,4,3,1,5,10,3,7,13,7,11,7,3,0,9,0,8,10,7,8,1,14,1,0,0,9,10,7,4,4,3,0,0,0,0,8,5,11,0,1,0,3,8,1,11,8,2,8
2,pin,9,5,11,7,7,0,0,0,0,0,12,9,0,0,5,5,0,11,5,0,1,0,0,0,2,8,3,5,3,1,0,3,4,5,6,0,0,0,0,4,6,11,9,0,4,6,8,3,5,5,0,3,0,11,2,0,0,7,5,9,0,5,4,0,5,4,0,0,0,8,7,12,6,5,0,9,3,0,0,7
3,eye,5,4,6,4,9,0,0,7,11,0,6,0,5,2,3,6,8,0,4,0,2,4,9,7,3,12,0,6,0,3,2,7,0,11,10,9,0,5,0,5,0,6,8,9,5,7,6,0,0,9,8,6,3,12,0,0,0,8,8,0,3,8,5,6,0,0,0,9,0,10,8,2,0,4,9,0,10,9,0,6
4,sewing,0,10,8,8,0,0,3,11,6,0,11,6,0,1,0,10,0,12,3,0,3,0,4,6,0,11,8,0,0,5,4,0,0,6,1,2,6,9,5,8,8,0,10,8,9,11,0,0,7,0,12,5,0,9,3,0,0,0,9,0,2,3,0,0,8,0,0,0,0,13,0,4,0,0,1,0,2,0,1,0
5,hole,0,6,10,5,10,7,4,0,9,0,10,0,0,7,7,8,1,9,0,0,4,0,0,5,0,14,6,9,9,2,6,0,8,0,2,0,7,11,6,0,12,8,7,10,0,0,7,0,0,0,6,7,0,0,0,0,0,0,7,8,0,16,6,0,0,0,0,11,4,15,0,3,0,0,7,0,0,0,0,0
